"BehaviorSpace results (NetLogo 6.4.0)","Table version 2.0"
"IrpinModel.nlogo"
"Vary Site-Selection Artillery Active"
"04/19/2025 01:43:24:609 -0400"
"min-pxcor","max-pxcor","min-pycor","max-pycor"
"0","459","0","624"
"[run number]","turn-on-artillery?","turn-on-stop-conditions?","spacing-mode","site-selection-mode","[step]","battle-outcome","infantry-crossed","infantry-casualties","infantry-used","pontoons-used","ticks"
"256","true","true","Uniform","03 Shortest Bridges","2320","Retreat","900","4520","6540","19860","2320"
"258","true","true","Uniform","03 Shortest Bridges","2360","Retreat","0","4540","6640","20270","2360"
"254","true","true","Uniform","03 Shortest Bridges","2240","Retreat","0","4510","6290","19150","2240"
"257","true","true","Uniform","03 Shortest Bridges","2320","Retreat","0","4520","6470","19930","2320"
"259","true","true","Uniform","03 Shortest Bridges","2160","Retreat","0","4550","6350","18530","2160"
"262","true","true","Uniform","03 Shortest Bridges","2260","Retreat","3300","4520","6410","19380","2260"
"261","true","true","Uniform","03 Shortest Bridges","2380","Retreat","0","4540","6460","20490","2380"
"263","true","true","Uniform","03 Shortest Bridges","2320","Retreat","0","4550","6330","19980","2320"
"268","true","true","Uniform","03 Shortest Bridges","2200","Retreat","900","4520","6190","18730","2200"
"264","true","true","Uniform","03 Shortest Bridges","2300","Retreat","0","4510","6390","19840","2300"
"260","true","true","Uniform","03 Shortest Bridges","2340","Retreat","0","4520","6170","20090","2340"
"267","true","true","Uniform","03 Shortest Bridges","2280","Retreat","0","4520","6370","19550","2280"
"265","true","true","Uniform","03 Shortest Bridges","2380","Retreat","0","4550","6380","20500","2380"
"266","true","true","Uniform","03 Shortest Bridges","2200","Retreat","0","4540","6320","18800","2200"
"270","true","true","Uniform","03 Shortest Bridges","2320","Retreat","0","4510","6200","19950","2320"
"275","true","true","Uniform","03 Shortest Bridges","2200","Retreat","0","4530","6280","18980","2200"
"271","true","true","Uniform","03 Shortest Bridges","2180","Retreat","0","4530","6270","18770","2180"
"269","true","true","Uniform","03 Shortest Bridges","2260","Retreat","0","4520","6450","19450","2260"
"272","true","true","Uniform","03 Shortest Bridges","2240","Retreat","0","4520","6270","19190","2240"
"273","true","true","Uniform","03 Shortest Bridges","2180","Retreat","0","4510","6240","18720","2180"
"274","true","true","Uniform","03 Shortest Bridges","2300","Retreat","0","4510","6340","19700","2300"
"276","true","true","Uniform","03 Shortest Bridges","2200","Retreat","0","4540","6310","18970","2200"
"282","true","true","Uniform","03 Shortest Bridges","2300","Retreat","0","4520","6570","19830","2300"
"278","true","true","Uniform","03 Shortest Bridges","2280","Retreat","0","4550","6300","19540","2280"
"277","true","true","Uniform","03 Shortest Bridges","2280","Retreat","0","4510","6280","19530","2280"
"279","true","true","Uniform","03 Shortest Bridges","2360","Retreat","0","4520","6410","20240","2360"
"281","true","true","Uniform","03 Shortest Bridges","2240","Retreat","400","4520","6440","19260","2240"
"283","true","true","Uniform","03 Shortest Bridges","2340","Retreat","0","4520","6490","20010","2340"
"280","true","true","Uniform","03 Shortest Bridges","2220","Retreat","0","4540","6170","19030","2220"
"289","true","true","Uniform","03 Shortest Bridges","2300","Retreat","0","4510","6540","19700","2300"
"285","true","true","Uniform","03 Shortest Bridges","2300","Retreat","400","4550","6440","19760","2300"
"284","true","true","Uniform","03 Shortest Bridges","2280","Retreat","400","4520","6440","19530","2280"
"287","true","true","Uniform","03 Shortest Bridges","2240","Retreat","0","4520","6360","19230","2240"
"286","true","true","Uniform","03 Shortest Bridges","2340","Retreat","1200","4510","6520","20110","2340"
"288","true","true","Uniform","03 Shortest Bridges","2340","Retreat","0","4520","6440","20140","2340"
"290","true","true","Uniform","03 Shortest Bridges","2360","Retreat","0","4510","6420","20290","2360"
"296","true","true","Uniform","03 Shortest Bridges","2380","Retreat","0","4540","6280","20360","2380"
"292","true","true","Uniform","03 Shortest Bridges","2220","Retreat","0","4540","6320","19040","2220"
"291","true","true","Uniform","03 Shortest Bridges","2200","Retreat","0","4520","6350","18890","2200"
"293","true","true","Uniform","03 Shortest Bridges","2260","Retreat","0","4530","6470","19380","2260"
