"BehaviorSpace results (NetLogo 6.4.0)","Table version 2.0"
"IrpinModel.nlogo"
"Vary Site-Selection Artillery Active Waves"
"04/12/2025 19:56:18:235 -0400"
"min-pxcor","max-pxcor","min-pycor","max-pycor"
"0","459","0","624"
"[run number]","turn-on-artillery?","turn-on-stop-conditions?","spacing-mode","site-selection-mode","wave-pause","wave-duration","[step]","battle-outcome","total-infantry-crossed","total-infantry-casualties / 10","total-infantry-used","ticks"
"24","true","true","Waves","01 Shortest Bridges","40","120","11060","Retreat","0","4510","5510","11060"
"22","true","true","Waves","01 Shortest Bridges","40","100","11060","Retreat","0","4510","5620","11060"
"28","true","true","Waves","01 Shortest Bridges","40","160","10700","Retreat","0","4510","5460","10700"
"23","true","true","Waves","01 Shortest Bridges","40","110","14640","Retreat","100","4510","5620","14640"
"25","true","true","Waves","01 Shortest Bridges","40","130","14220","Retreat","100","4510","5660","14220"
"26","true","true","Waves","01 Shortest Bridges","40","140","10920","Retreat","0","4510","5530","10920"
"34","true","true","Waves","01 Shortest Bridges","40","220","10440","Retreat","0","4510","5610","10440"
"32","true","true","Waves","01 Shortest Bridges","40","200","10300","Retreat","0","4510","5510","10300"
"27","true","true","Waves","01 Shortest Bridges","40","150","12960","Retreat","0","4510","5610","12960"
"29","true","true","Waves","01 Shortest Bridges","40","170","12620","Retreat","0","4510","5500","12620"
"33","true","true","Waves","01 Shortest Bridges","40","210","11860","Retreat","100","4510","5570","11860"
"31","true","true","Waves","01 Shortest Bridges","40","190","12820","Retreat","0","4510","5530","12820"
"36","true","true","Waves","01 Shortest Bridges","40","240","10500","Retreat","0","4510","5570","10500"
"35","true","true","Waves","01 Shortest Bridges","40","230","11740","Retreat","0","4510","5550","11740"
"38","true","true","Waves","01 Shortest Bridges","40","260","10380","Retreat","0","4510","5600","10380"
"37","true","true","Waves","01 Shortest Bridges","40","250","11760","Retreat","1100","4510","5680","11760"
"39","true","true","Waves","01 Shortest Bridges","40","270","11680","Retreat","0","4510","5620","11680"
"40","true","true","Waves","01 Shortest Bridges","40","280","10340","Retreat","0","4510","5570","10340"
"45","true","true","Waves","01 Shortest Bridges","50","120","16260","Retreat","300","4510","5650","16260"
"42","true","true","Waves","01 Shortest Bridges","40","300","10080","Retreat","0","4510","5580","10080"
"41","true","true","Waves","01 Shortest Bridges","40","290","11080","Retreat","0","4510","5610","11080"
"43","true","true","Waves","01 Shortest Bridges","50","100","18680","Retreat","100","4510","5560","18680"
"52","true","true","Waves","01 Shortest Bridges","50","190","14860","Retreat","400","4510","5660","14860"
"47","true","true","Waves","01 Shortest Bridges","50","140","16320","Retreat","500","4510","5630","16320"
"57","true","true","Waves","01 Shortest Bridges","50","240","13780","Retreat","0","4510","5530","13780"
"51","true","true","Waves","01 Shortest Bridges","50","180","15560","Retreat","300","4510","5680","15560"
"48","true","true","Waves","01 Shortest Bridges","50","150","16760","Retreat","0","4510","5620","16760"
"44","true","true","Waves","01 Shortest Bridges","50","110","19160","Retreat","0","4510","5600","19160"
"55","true","true","Waves","01 Shortest Bridges","50","220","13980","Retreat","1400","4510","5670","13980"
"49","true","true","Waves","01 Shortest Bridges","50","160","16020","Retreat","1400","4510","5700","16020"
"53","true","true","Waves","01 Shortest Bridges","50","200","14580","Retreat","400","4510","5620","14580"
"50","true","true","Waves","01 Shortest Bridges","50","170","15380","Retreat","300","4510","5660","15380"
"54","true","true","Waves","01 Shortest Bridges","50","210","14280","Retreat","400","4510","5670","14280"
"56","true","true","Waves","01 Shortest Bridges","50","230","14180","Retreat","400","4510","5690","14180"
"46","true","true","Waves","01 Shortest Bridges","50","130","17780","Retreat","400","4510","5640","17780"
"58","true","true","Waves","01 Shortest Bridges","50","250","13700","Retreat","1400","4510","5790","13700"
"59","true","true","Waves","01 Shortest Bridges","50","260","12900","Retreat","700","4510","5600","12900"
"63","true","true","Waves","01 Shortest Bridges","50","300","12740","Retreat","100","4510","5660","12740"
"61","true","true","Waves","01 Shortest Bridges","50","280","13060","Retreat","0","4510","5570","13060"
"60","true","true","Waves","01 Shortest Bridges","50","270","13740","Retreat","0","4510","5580","13740"
"62","true","true","Waves","01 Shortest Bridges","50","290","13160","Retreat","0","4510","5590","13160"
"76","true","true","Waves","01 Shortest Bridges","60","220","13960","Retreat","500","4510","5700","13960"
"64","true","true","Waves","01 Shortest Bridges","60","100","19660","Retreat","0","4510","5680","19660"
"71","true","true","Waves","01 Shortest Bridges","60","170","16080","Retreat","600","4510","5680","16080"
"72","true","true","Waves","01 Shortest Bridges","60","180","14840","Retreat","0","4510","5590","14840"
"67","true","true","Waves","01 Shortest Bridges","60","130","18920","Retreat","700","4510","5720","18920"
"69","true","true","Waves","01 Shortest Bridges","60","150","17540","Retreat","500","4510","5660","17540"
"66","true","true","Waves","01 Shortest Bridges","60","120","18140","Retreat","1100","4510","5770","18140"
"68","true","true","Waves","01 Shortest Bridges","60","140","16920","Retreat","1100","4510","5720","16920"
"70","true","true","Waves","01 Shortest Bridges","60","160","16440","Retreat","0","4510","5650","16440"
"65","true","true","Waves","01 Shortest Bridges","60","110","21200","Retreat","500","4510","5590","21200"
"73","true","true","Waves","01 Shortest Bridges","60","190","15480","Retreat","100","4510","5600","15480"
"74","true","true","Waves","01 Shortest Bridges","60","200","14780","Retreat","500","4510","5590","14780"
"75","true","true","Waves","01 Shortest Bridges","60","210","15100","Retreat","0","4510","5610","15100"
"77","true","true","Waves","01 Shortest Bridges","60","230","14420","Retreat","300","4510","5620","14420"
"80","true","true","Waves","01 Shortest Bridges","60","260","13540","Retreat","400","4510","5700","13540"
"78","true","true","Waves","01 Shortest Bridges","60","240","13400","Retreat","600","4510","5660","13400"
"79","true","true","Waves","01 Shortest Bridges","60","250","13920","Retreat","700","4510","5670","13920"
"82","true","true","Waves","01 Shortest Bridges","60","280","13080","Retreat","400","4510","5630","13080"
"81","true","true","Waves","01 Shortest Bridges","60","270","13960","Retreat","0","4510","5560","13960"
"84","true","true","Waves","01 Shortest Bridges","60","300","12940","Retreat","0","4510","5610","12940"
"83","true","true","Waves","01 Shortest Bridges","60","290","13580","Retreat","0","4510","5620","13580"
"94","true","true","Waves","01 Shortest Bridges","70","190","17300","Retreat","400","4510","5670","17300"
"89","true","true","Waves","01 Shortest Bridges","70","140","19440","Retreat","0","4510","5590","19440"
"93","true","true","Waves","01 Shortest Bridges","70","180","17180","Retreat","900","4510","5640","17180"
"85","true","true","Waves","01 Shortest Bridges","70","100","23060","Retreat","0","4510","5660","23060"
"87","true","true","Waves","01 Shortest Bridges","70","120","20700","Retreat","900","4510","5650","20700"
"86","true","true","Waves","01 Shortest Bridges","70","110","24080","Retreat","400","4510","5670","24080"
"91","true","true","Waves","01 Shortest Bridges","70","160","18300","Retreat","400","4510","5620","18300"
"92","true","true","Waves","01 Shortest Bridges","70","170","17460","Retreat","400","4510","5680","17460"
"88","true","true","Waves","01 Shortest Bridges","70","130","21280","Retreat","900","4510","5770","21280"
"96","true","true","Waves","01 Shortest Bridges","70","210","15760","Retreat","400","4510","5620","15760"
"95","true","true","Waves","01 Shortest Bridges","70","200","15880","Retreat","0","4510","5580","15880"
"90","true","true","Waves","01 Shortest Bridges","70","150","19240","Retreat","300","4510","5660","19240"
"101","true","true","Waves","01 Shortest Bridges","70","260","14380","Retreat","0","4510","5550","14380"
"99","true","true","Waves","01 Shortest Bridges","70","240","15020","Retreat","400","4510","5650","15020"
"98","true","true","Waves","01 Shortest Bridges","70","230","15540","Retreat","0","4510","5560","15540"
"97","true","true","Waves","01 Shortest Bridges","70","220","15340","Retreat","600","4510","5620","15340"
"100","true","true","Waves","01 Shortest Bridges","70","250","15000","Retreat","300","4510","5650","15000"
"103","true","true","Waves","01 Shortest Bridges","70","280","13880","Retreat","0","4510","5650","13880"
"102","true","true","Waves","01 Shortest Bridges","70","270","14160","Retreat","0","4510","5580","14160"
"104","true","true","Waves","01 Shortest Bridges","70","290","13920","Retreat","0","4510","5610","13920"
"113","true","true","Waves","01 Shortest Bridges","80","170","18120","Retreat","0","4510","5650","18120"
"105","true","true","Waves","01 Shortest Bridges","70","300","13840","Retreat","0","4510","5580","13840"
"110","true","true","Waves","01 Shortest Bridges","80","140","19900","Retreat","700","4510","5730","19900"
"108","true","true","Waves","01 Shortest Bridges","80","120","21760","Retreat","0","4510","5640","21760"
"111","true","true","Waves","01 Shortest Bridges","80","150","19260","Retreat","1500","4510","5750","19260"
"106","true","true","Waves","01 Shortest Bridges","80","100","24620","Retreat","2000","4510","5800","24620"
"114","true","true","Waves","01 Shortest Bridges","80","180","17380","Retreat","800","4510","5620","17380"
"109","true","true","Waves","01 Shortest Bridges","80","130","21120","Retreat","900","4510","5790","21120"
"116","true","true","Waves","01 Shortest Bridges","80","200","16360","Retreat","0","4510","5610","16360"
"115","true","true","Waves","01 Shortest Bridges","80","190","17240","Retreat","0","4510","5540","17240"
"117","true","true","Waves","01 Shortest Bridges","80","210","16200","Retreat","0","4510","5600","16200"
"107","true","true","Waves","01 Shortest Bridges","80","110","25180","Retreat","700","4510","5660","25180"
"121","true","true","Waves","01 Shortest Bridges","80","250","14780","Retreat","400","4510","5670","14780"
"112","true","true","Waves","01 Shortest Bridges","80","160","17900","Retreat","400","4510","5580","17900"
"118","true","true","Waves","01 Shortest Bridges","80","220","15260","Retreat","400","4510","5560","15260"
"119","true","true","Waves","01 Shortest Bridges","80","230","15720","Retreat","500","4510","5700","15720"
"120","true","true","Waves","01 Shortest Bridges","80","240","15220","Retreat","300","4510","5580","15220"
"122","true","true","Waves","01 Shortest Bridges","80","260","14440","Retreat","0","4510","5610","14440"
"123","true","true","Waves","01 Shortest Bridges","80","270","14880","Retreat","100","4510","5700","14880"
"133","true","true","Waves","01 Shortest Bridges","90","160","19360","Retreat","0","4510","5590","19360"
"124","true","true","Waves","01 Shortest Bridges","80","280","14280","Retreat","400","4510","5680","14280"
"126","true","true","Waves","01 Shortest Bridges","80","300","14300","Retreat","800","4510","5650","14300"
"125","true","true","Waves","01 Shortest Bridges","80","290","14380","Retreat","0","4510","5590","14380"
"135","true","true","Waves","01 Shortest Bridges","90","180","18300","Retreat","0","4510","5520","18300"
"129","true","true","Waves","01 Shortest Bridges","90","120","23480","Retreat","100","4510","5680","23480"
"130","true","true","Waves","01 Shortest Bridges","90","130","24760","Retreat","700","4510","5760","24760"
"131","true","true","Waves","01 Shortest Bridges","90","140","22000","Retreat","800","4510","5710","22000"
"127","true","true","Waves","01 Shortest Bridges","90","100","28400","Retreat","900","4510","5810","28400"
"140","true","true","Waves","01 Shortest Bridges","90","230","16560","Retreat","0","4510","5640","16560"
"132","true","true","Waves","01 Shortest Bridges","90","150","21260","Retreat","1600","4510","5760","21260"
"136","true","true","Waves","01 Shortest Bridges","90","190","18140","Retreat","1200","4510","5670","18140"
"137","true","true","Waves","01 Shortest Bridges","90","200","17000","Retreat","800","4510","5750","17000"
"134","true","true","Waves","01 Shortest Bridges","90","170","19440","Retreat","400","4510","5650","19440"
"138","true","true","Waves","01 Shortest Bridges","90","210","17540","Retreat","400","4510","5680","17540"
"128","true","true","Waves","01 Shortest Bridges","90","110","28320","Retreat","0","4510","5600","28320"
"139","true","true","Waves","01 Shortest Bridges","90","220","16580","Retreat","0","4510","5610","16580"
"141","true","true","Waves","01 Shortest Bridges","90","240","16060","Retreat","800","4510","5770","16060"
"143","true","true","Waves","01 Shortest Bridges","90","260","16000","Retreat","400","4510","5650","16000"
"142","true","true","Waves","01 Shortest Bridges","90","250","15820","Retreat","300","4510","5640","15820"
"144","true","true","Waves","01 Shortest Bridges","90","270","14940","Retreat","400","4510","5580","14940"
"149","true","true","Waves","02 Shortest Bridges","30","110","5800","Retreat","0","4510","6740","5800"
"145","true","true","Waves","01 Shortest Bridges","90","280","15020","Retreat","300","4510","5670","15020"
"147","true","true","Waves","01 Shortest Bridges","90","300","14280","Retreat","0","4510","5550","14280"
"146","true","true","Waves","01 Shortest Bridges","90","290","14720","Retreat","0","4510","5640","14720"
"148","true","true","Waves","02 Shortest Bridges","30","100","5820","Retreat","0","4510","6750","5820"
"150","true","true","Waves","02 Shortest Bridges","30","120","5640","Retreat","0","4510","6790","5640"
"161","true","true","Waves","02 Shortest Bridges","30","230","5420","Retreat","0","4510","6830","5420"
"151","true","true","Waves","02 Shortest Bridges","30","130","5720","Retreat","0","4520","6900","5720"
"152","true","true","Waves","02 Shortest Bridges","30","140","5540","Retreat","0","4520","6780","5540"
"156","true","true","Waves","02 Shortest Bridges","30","180","5600","Retreat","0","4510","6750","5600"
"154","true","true","Waves","02 Shortest Bridges","30","160","5400","Retreat","0","4520","6850","5400"
"153","true","true","Waves","02 Shortest Bridges","30","150","5700","Retreat","0","4520","6780","5700"
"160","true","true","Waves","02 Shortest Bridges","30","220","5380","Retreat","0","4520","6560","5380"
"157","true","true","Waves","02 Shortest Bridges","30","190","5680","Retreat","0","4510","6830","5680"
"155","true","true","Waves","02 Shortest Bridges","30","170","5660","Retreat","0","4510","6750","5660"
"159","true","true","Waves","02 Shortest Bridges","30","210","5600","Retreat","0","4510","6850","5600"
"158","true","true","Waves","02 Shortest Bridges","30","200","5500","Retreat","0","4520","6680","5500"
"167","true","true","Waves","02 Shortest Bridges","30","290","5480","Retreat","400","4510","6820","5480"
"162","true","true","Waves","02 Shortest Bridges","30","240","5620","Retreat","0","4520","6840","5620"
"164","true","true","Waves","02 Shortest Bridges","30","260","5420","Retreat","0","4520","6820","5420"
"163","true","true","Waves","02 Shortest Bridges","30","250","5520","Retreat","0","4520","6830","5520"
"165","true","true","Waves","02 Shortest Bridges","30","270","5440","Retreat","0","4510","6960","5440"
"166","true","true","Waves","02 Shortest Bridges","30","280","5420","Retreat","0","4520","6830","5420"
"168","true","true","Waves","02 Shortest Bridges","30","300","5500","Retreat","0","4510","6790","5500"
"178","true","true","Waves","02 Shortest Bridges","40","190","6520","Retreat","100","4520","6740","6520"
"169","true","true","Waves","02 Shortest Bridges","40","100","6140","Retreat","0","4520","6760","6140"
"173","true","true","Waves","02 Shortest Bridges","40","140","5740","Retreat","0","4520","6770","5740"
"170","true","true","Waves","02 Shortest Bridges","40","110","7340","Retreat","100","4520","6850","7340"
"179","true","true","Waves","02 Shortest Bridges","40","200","5740","Retreat","400","4510","6870","5740"
"177","true","true","Waves","02 Shortest Bridges","40","180","5500","Retreat","0","4510","6770","5500"
"174","true","true","Waves","02 Shortest Bridges","40","150","6660","Retreat","0","4520","6890","6660"
"176","true","true","Waves","02 Shortest Bridges","40","170","6420","Retreat","0","4520","6750","6420"
"171","true","true","Waves","02 Shortest Bridges","40","120","6140","Retreat","0","4510","6860","6140"
"175","true","true","Waves","02 Shortest Bridges","40","160","5900","Retreat","0","4520","6850","5900"
"185","true","true","Waves","02 Shortest Bridges","40","260","5480","Retreat","0","4510","6820","5480"
"180","true","true","Waves","02 Shortest Bridges","40","210","6360","Retreat","0","4510","6830","6360"
"172","true","true","Waves","02 Shortest Bridges","40","130","7180","Retreat","700","4520","7000","7180"
"181","true","true","Waves","02 Shortest Bridges","40","220","5580","Retreat","0","4520","6800","5580"
"182","true","true","Waves","02 Shortest Bridges","40","230","6380","Retreat","0","4510","6890","6380"
"183","true","true","Waves","02 Shortest Bridges","40","240","5640","Retreat","0","4510","6650","5640"
"187","true","true","Waves","02 Shortest Bridges","40","280","5600","Retreat","0","4520","6800","5600"
"186","true","true","Waves","02 Shortest Bridges","40","270","6260","Retreat","100","4510","6880","6260"
"189","true","true","Waves","02 Shortest Bridges","40","300","5520","Retreat","0","4510","6780","5520"
"184","true","true","Waves","02 Shortest Bridges","40","250","6320","Retreat","0","4510","6860","6320"
"188","true","true","Waves","02 Shortest Bridges","40","290","6240","Retreat","0","4520","6910","6240"
"195","true","true","Waves","02 Shortest Bridges","50","150","8720","Retreat","400","4510","6870","8720"
"196","true","true","Waves","02 Shortest Bridges","50","160","7960","Retreat","500","4510","6850","7960"
"201","true","true","Waves","02 Shortest Bridges","50","210","7220","Retreat","0","4520","6930","7220"
"190","true","true","Waves","02 Shortest Bridges","50","100","9300","Retreat","100","4510","6880","9300"
"206","true","true","Waves","02 Shortest Bridges","50","260","6800","Retreat","600","4510","6930","6800"
"192","true","true","Waves","02 Shortest Bridges","50","120","8500","Retreat","500","4520","6970","8500"
"199","true","true","Waves","02 Shortest Bridges","50","190","7780","Retreat","700","4520","6930","7780"
"191","true","true","Waves","02 Shortest Bridges","50","110","9420","Retreat","300","4510","6850","9420"
"200","true","true","Waves","02 Shortest Bridges","50","200","7420","Retreat","100","4520","6830","7420"
"198","true","true","Waves","02 Shortest Bridges","50","180","8120","Retreat","100","4510","6900","8120"
"194","true","true","Waves","02 Shortest Bridges","50","140","8660","Retreat","400","4510","6940","8660"
"193","true","true","Waves","02 Shortest Bridges","50","130","8820","Retreat","1100","4510","6940","8820"
"203","true","true","Waves","02 Shortest Bridges","50","230","7440","Retreat","300","4510","6940","7440"
"202","true","true","Waves","02 Shortest Bridges","50","220","6940","Retreat","800","4510","6970","6940"
"205","true","true","Waves","02 Shortest Bridges","50","250","7020","Retreat","500","4510","6760","7020"
"197","true","true","Waves","02 Shortest Bridges","50","170","7860","Retreat","300","4510","7020","7860"
"204","true","true","Waves","02 Shortest Bridges","50","240","6880","Retreat","0","4520","6880","6880"
"210","true","true","Waves","02 Shortest Bridges","50","300","6780","Retreat","400","4520","6920","6780"
"208","true","true","Waves","02 Shortest Bridges","50","280","6860","Retreat","0","4510","6920","6860"
"207","true","true","Waves","02 Shortest Bridges","50","270","7160","Retreat","0","4520","6890","7160"
"223","true","true","Waves","02 Shortest Bridges","60","220","7660","Retreat","400","4510","6880","7660"
"209","true","true","Waves","02 Shortest Bridges","50","290","6760","Retreat","0","4510","6970","6760"
"211","true","true","Waves","02 Shortest Bridges","60","100","9720","Retreat","800","4510","6930","9720"
"218","true","true","Waves","02 Shortest Bridges","60","170","8640","Retreat","1700","4510","6980","8640"
"220","true","true","Waves","02 Shortest Bridges","60","190","8160","Retreat","1200","4510","6960","8160"
"212","true","true","Waves","02 Shortest Bridges","60","110","10480","Retreat","400","4510","6960","10480"
"213","true","true","Waves","02 Shortest Bridges","60","120","9660","Retreat","1100","4520","7050","9660"
"219","true","true","Waves","02 Shortest Bridges","60","180","7860","Retreat","300","4510","6980","7860"
"215","true","true","Waves","02 Shortest Bridges","60","140","8260","Retreat","1500","4510","6830","8260"
"214","true","true","Waves","02 Shortest Bridges","60","130","9840","Retreat","800","4510","7100","9840"
"217","true","true","Waves","02 Shortest Bridges","60","160","8060","Retreat","0","4510","6800","8060"
"226","true","true","Waves","02 Shortest Bridges","60","250","7420","Retreat","1000","4510","6960","7420"
"222","true","true","Waves","02 Shortest Bridges","60","210","7900","Retreat","1800","4510","6870","7900"
"216","true","true","Waves","02 Shortest Bridges","60","150","8940","Retreat","100","4510","6990","8940"
"224","true","true","Waves","02 Shortest Bridges","60","230","7400","Retreat","1800","4510","7080","7400"
"221","true","true","Waves","02 Shortest Bridges","60","200","7700","Retreat","0","4510","6730","7700"
"225","true","true","Waves","02 Shortest Bridges","60","240","7140","Retreat","0","4520","6920","7140"
"227","true","true","Waves","02 Shortest Bridges","60","260","6960","Retreat","0","4510","6920","6960"
"237","true","true","Waves","02 Shortest Bridges","70","150","9760","Retreat","800","4510","6880","9760"
"230","true","true","Waves","02 Shortest Bridges","60","290","6960","Retreat","1500","4520","7080","6960"
"229","true","true","Waves","02 Shortest Bridges","60","280","7180","Retreat","0","4510","6870","7180"
"228","true","true","Waves","02 Shortest Bridges","60","270","7060","Retreat","900","4510","6890","7060"
"231","true","true","Waves","02 Shortest Bridges","60","300","6720","Retreat","0","4510","6770","6720"
"240","true","true","Waves","02 Shortest Bridges","70","180","8760","Retreat","500","4510","6890","8760"
"244","true","true","Waves","02 Shortest Bridges","70","220","8060","Retreat","2700","4520","6960","8060"
"232","true","true","Waves","02 Shortest Bridges","70","100","11860","Retreat","1400","4520","7220","11860"
"235","true","true","Waves","02 Shortest Bridges","70","130","10500","Retreat","900","4510","7020","10500"
"242","true","true","Waves","02 Shortest Bridges","70","200","8260","Retreat","1600","4510","7050","8260"
"238","true","true","Waves","02 Shortest Bridges","70","160","9160","Retreat","800","4520","6960","9160"
"236","true","true","Waves","02 Shortest Bridges","70","140","9780","Retreat","400","4520","6990","9780"
"234","true","true","Waves","02 Shortest Bridges","70","120","10800","Retreat","1100","4510","6930","10800"
"233","true","true","Waves","02 Shortest Bridges","70","110","11860","Retreat","1600","4510","7110","11860"
"239","true","true","Waves","02 Shortest Bridges","70","170","9460","Retreat","0","4510","6930","9460"
"245","true","true","Waves","02 Shortest Bridges","70","230","8060","Retreat","400","4510","6910","8060"
"246","true","true","Waves","02 Shortest Bridges","70","240","7940","Retreat","0","4510","6790","7940"
"241","true","true","Waves","02 Shortest Bridges","70","190","8780","Retreat","2500","4510","7120","8780"
"250","true","true","Waves","02 Shortest Bridges","70","280","7200","Retreat","0","4510","6930","7200"
"248","true","true","Waves","02 Shortest Bridges","70","260","7720","Retreat","1600","4520","7150","7720"
"243","true","true","Waves","02 Shortest Bridges","70","210","8260","Retreat","300","4520","6850","8260"
"247","true","true","Waves","02 Shortest Bridges","70","250","7860","Retreat","0","4520","6990","7860"
"249","true","true","Waves","02 Shortest Bridges","70","270","7700","Retreat","1300","4510","6850","7700"
"262","true","true","Waves","02 Shortest Bridges","80","190","8800","Retreat","3700","4520","7140","8800"
"252","true","true","Waves","02 Shortest Bridges","70","300","7200","Retreat","0","4520","6660","7200"
"251","true","true","Waves","02 Shortest Bridges","70","290","7460","Retreat","0","4520","6870","7460"
"259","true","true","Waves","02 Shortest Bridges","80","160","9500","Retreat","800","4520","7030","9500"
"260","true","true","Waves","02 Shortest Bridges","80","170","9620","Retreat","700","4520","7070","9620"
"263","true","true","Waves","02 Shortest Bridges","80","200","8800","Retreat","0","4510","6760","8800"
"265","true","true","Waves","02 Shortest Bridges","80","220","8200","Retreat","800","4510","7090","8200"
"267","true","true","Waves","02 Shortest Bridges","80","240","8120","Retreat","1700","4510","7080","8120"
"253","true","true","Waves","02 Shortest Bridges","80","100","12720","Retreat","400","4510","6960","12720"
"257","true","true","Waves","02 Shortest Bridges","80","140","10720","Retreat","0","4510","7000","10720"
"264","true","true","Waves","02 Shortest Bridges","80","210","8580","Retreat","400","4510","7040","8580"
"266","true","true","Waves","02 Shortest Bridges","80","230","8220","Retreat","800","4520","7000","8220"
"254","true","true","Waves","02 Shortest Bridges","80","110","12440","Retreat","700","4510","7010","12440"
"256","true","true","Waves","02 Shortest Bridges","80","130","11080","Retreat","400","4510","6870","11080"
"255","true","true","Waves","02 Shortest Bridges","80","120","11320","Retreat","600","4520","7060","11320"
"258","true","true","Waves","02 Shortest Bridges","80","150","10500","Retreat","1300","4520","7000","10500"
"261","true","true","Waves","02 Shortest Bridges","80","180","9000","Retreat","400","4520","6960","9000"
"269","true","true","Waves","02 Shortest Bridges","80","260","7760","Retreat","400","4520","6980","7760"
"268","true","true","Waves","02 Shortest Bridges","80","250","8100","Retreat","0","4510","6880","8100"
"271","true","true","Waves","02 Shortest Bridges","80","280","7280","Retreat","0","4510","6970","7280"
"270","true","true","Waves","02 Shortest Bridges","80","270","7800","Retreat","0","4510","6850","7800"
"274","true","true","Waves","02 Shortest Bridges","90","100","13820","Retreat","800","4510","7000","13820"
"272","true","true","Waves","02 Shortest Bridges","80","290","7620","Retreat","500","4510","6950","7620"
"273","true","true","Waves","02 Shortest Bridges","80","300","7320","Retreat","500","4520","6980","7320"
"278","true","true","Waves","02 Shortest Bridges","90","140","10960","Retreat","100","4510","7000","10960"
"288","true","true","Waves","02 Shortest Bridges","90","240","8380","Retreat","0","4520","6900","8380"
"275","true","true","Waves","02 Shortest Bridges","90","110","13140","Retreat","2100","4510","7100","13140"
"276","true","true","Waves","02 Shortest Bridges","90","120","12060","Retreat","400","4510","6800","12060"
"280","true","true","Waves","02 Shortest Bridges","90","160","10120","Retreat","300","4510","7030","10120"
"277","true","true","Waves","02 Shortest Bridges","90","130","11740","Retreat","1300","4510","7020","11740"
"286","true","true","Waves","02 Shortest Bridges","90","220","8600","Retreat","700","4510","6900","8600"
"279","true","true","Waves","02 Shortest Bridges","90","150","10900","Retreat","800","4510","7010","10900"
"282","true","true","Waves","02 Shortest Bridges","90","180","9600","Retreat","0","4510","6850","9600"
"285","true","true","Waves","02 Shortest Bridges","90","210","9460","Retreat","0","4520","6830","9460"
"281","true","true","Waves","02 Shortest Bridges","90","170","10100","Retreat","400","4520","6870","10100"
"283","true","true","Waves","02 Shortest Bridges","90","190","9640","Retreat","400","4520","6900","9640"
"289","true","true","Waves","02 Shortest Bridges","90","250","8060","Retreat","700","4510","6990","8060"
"284","true","true","Waves","02 Shortest Bridges","90","200","9100","Retreat","0","4520","6820","9100"
"287","true","true","Waves","02 Shortest Bridges","90","230","8500","Retreat","0","4510","6890","8500"
"292","true","true","Waves","02 Shortest Bridges","90","280","7620","Retreat","0","4520","6850","7620"
"291","true","true","Waves","02 Shortest Bridges","90","270","8100","Retreat","0","4520","6840","8100"
"297","true","true","Waves","03 Shortest Bridges","30","120","2340","Retreat","0","4550","6480","2340"
"295","true","true","Waves","03 Shortest Bridges","30","100","2300","Retreat","1200","4530","6350","2300"
