x_runNumber_,turn_on_artillery_,turn_on_stop_conditions_,spacing_mode,site_selection_mode,wave_pause,wave_duration,x_step_,battle_outcome,total_infantry_crossed,total_infantry_casualties_10,total_infantry_used,total_pontoons_used,ticks
77,true,true,Waves,01 Shortest Bridges,40,100,11060,Retreat,0,4510,5560,23180,11060
78,true,true,Waves,01 Shortest Bridges,40,100,11140,Retreat,0,4510,5630,23380,11140
79,true,true,Waves,01 Shortest Bridges,40,100,11140,Retreat,0,4510,5510,23350,11140
80,true,true,Waves,01 Shortest Bridges,40,100,11020,Retreat,0,4510,5530,23160,11020
81,true,true,Waves,01 Shortest Bridges,40,133,13800,Retreat,100,4510,5570,30910,13800
82,true,true,Waves,01 Shortest Bridges,40,133,14620,Retreat,100,4510,5590,32770,14620
88,true,true,Waves,01 Shortest Bridges,40,133,14000,Retreat,0,4510,5590,31340,14000
86,true,true,Waves,01 Shortest Bridges,40,133,13760,Retreat,100,4510,5590,30810,13760
87,true,true,Waves,01 Shortest Bridges,40,133,14300,Retreat,200,4510,5650,31990,14300
83,true,true,Waves,01 Shortest Bridges,40,133,14000,Retreat,0,4510,5650,31310,14000
84,true,true,Waves,01 Shortest Bridges,40,133,14340,Retreat,1000,4510,5720,31950,14340
85,true,true,Waves,01 Shortest Bridges,40,133,13640,Retreat,0,4510,5580,30470,13640
89,true,true,Waves,01 Shortest Bridges,40,133,13980,Retreat,100,4510,5610,31280,13980
90,true,true,Waves,01 Shortest Bridges,40,133,13900,Retreat,0,4510,5630,31050,13900
91,true,true,Waves,01 Shortest Bridges,40,166,13380,Retreat,400,4510,5550,31240,13380
92,true,true,Waves,01 Shortest Bridges,40,166,12720,Retreat,500,4510,5570,29820,12720
95,true,true,Waves,01 Shortest Bridges,40,166,12740,Retreat,700,4510,5670,29870,12740
93,true,true,Waves,01 Shortest Bridges,40,166,12540,Retreat,0,4510,5610,29380,12540
96,true,true,Waves,01 Shortest Bridges,40,166,12940,Retreat,0,4510,5600,30410,12940
94,true,true,Waves,01 Shortest Bridges,40,166,13040,Retreat,0,4510,5650,30540,13040
97,true,true,Waves,01 Shortest Bridges,40,166,12640,Retreat,100,4510,5610,29460,12640
98,true,true,Waves,01 Shortest Bridges,40,166,12920,Retreat,100,4510,5620,30370,12920
100,true,true,Waves,01 Shortest Bridges,40,166,12660,Retreat,700,4510,5680,29540,12660
99,true,true,Waves,01 Shortest Bridges,40,166,13080,Retreat,0,4510,5560,30580,13080
101,true,true,Waves,01 Shortest Bridges,40,200,10620,Retreat,0,4510,5530,25520,10620
102,true,true,Waves,01 Shortest Bridges,40,200,10320,Retreat,0,4510,5510,24970,10320
103,true,true,Waves,01 Shortest Bridges,40,200,10520,Retreat,0,4510,5530,25520,10520
105,true,true,Waves,01 Shortest Bridges,40,200,10480,Retreat,0,4510,5610,25250,10480
104,true,true,Waves,01 Shortest Bridges,40,200,10420,Retreat,0,4510,5520,25190,10420
107,true,true,Waves,01 Shortest Bridges,40,200,10440,Retreat,0,4510,5530,25110,10440
109,true,true,Waves,01 Shortest Bridges,40,200,10540,Retreat,0,4510,5580,25300,10540
106,true,true,Waves,01 Shortest Bridges,40,200,10420,Retreat,0,4510,5630,25070,10420
108,true,true,Waves,01 Shortest Bridges,40,200,10600,Retreat,0,4510,5560,25660,10600
110,true,true,Waves,01 Shortest Bridges,40,200,10480,Retreat,0,4510,5560,25230,10480
112,true,true,Waves,01 Shortest Bridges,40,233,11920,Retreat,0,4510,5530,29420,11920
111,true,true,Waves,01 Shortest Bridges,40,233,12280,Retreat,0,4510,5550,30130,12280
113,true,true,Waves,01 Shortest Bridges,40,233,11880,Retreat,600,4510,5540,29280,11880
114,true,true,Waves,01 Shortest Bridges,40,233,12320,Retreat,0,4510,5530,30440,12320
116,true,true,Waves,01 Shortest Bridges,40,233,12120,Retreat,800,4510,5630,29790,12120
115,true,true,Waves,01 Shortest Bridges,40,233,12160,Retreat,0,4510,5640,30000,12160
117,true,true,Waves,01 Shortest Bridges,40,233,12120,Retreat,100,4510,5540,29790,12120
118,true,true,Waves,01 Shortest Bridges,40,233,12380,Retreat,0,4510,5530,30510,12380
119,true,true,Waves,01 Shortest Bridges,40,233,12160,Retreat,0,4510,5610,29790,12160
120,true,true,Waves,01 Shortest Bridges,40,233,12100,Retreat,0,4510,5570,29760,12100
121,true,true,Waves,01 Shortest Bridges,40,266,11560,Retreat,0,4510,5540,28970,11560
127,true,true,Waves,01 Shortest Bridges,40,266,11900,Retreat,700,4510,5710,29820,11900
125,true,true,Waves,01 Shortest Bridges,40,266,11820,Retreat,0,4510,5570,29670,11820
122,true,true,Waves,01 Shortest Bridges,40,266,11880,Retreat,0,4510,5620,29880,11880
126,true,true,Waves,01 Shortest Bridges,40,266,11900,Retreat,0,4510,5660,29760,11900
124,true,true,Waves,01 Shortest Bridges,40,266,11500,Retreat,100,4510,5550,28840,11500
123,true,true,Waves,01 Shortest Bridges,40,266,11860,Retreat,100,4510,5620,29910,11860
128,true,true,Waves,01 Shortest Bridges,40,266,11480,Retreat,0,4510,5540,28720,11480
131,true,true,Waves,01 Shortest Bridges,40,300,10320,Retreat,0,4510,5480,26270,10320
129,true,true,Waves,01 Shortest Bridges,40,266,11580,Retreat,400,4510,5640,29130,11580
130,true,true,Waves,01 Shortest Bridges,40,266,11560,Retreat,0,4510,5580,29120,11560
132,true,true,Waves,01 Shortest Bridges,40,300,10120,Retreat,0,4510,5540,25780,10120
134,true,true,Waves,01 Shortest Bridges,40,300,10320,Retreat,0,4510,5590,26210,10320
133,true,true,Waves,01 Shortest Bridges,40,300,10320,Retreat,0,4510,5630,26300,10320
135,true,true,Waves,01 Shortest Bridges,40,300,10440,Retreat,0,4510,5610,26570,10440
137,true,true,Waves,01 Shortest Bridges,40,300,10000,Retreat,0,4510,5590,25500,10000
136,true,true,Waves,01 Shortest Bridges,40,300,10140,Retreat,0,4510,5560,25830,10140
138,true,true,Waves,01 Shortest Bridges,40,300,10280,Retreat,0,4510,5480,26000,10280
139,true,true,Waves,01 Shortest Bridges,40,300,10120,Retreat,0,4510,5560,25810,10120
140,true,true,Waves,01 Shortest Bridges,40,300,10240,Retreat,0,4510,5550,26070,10240
141,true,true,Waves,01 Shortest Bridges,50,100,19300,Retreat,300,4510,5670,37640,19300
143,true,true,Waves,01 Shortest Bridges,50,100,18160,Retreat,900,4510,5670,35330,18160
142,true,true,Waves,01 Shortest Bridges,50,100,18100,Retreat,1800,4510,5780,35240,18100
145,true,true,Waves,01 Shortest Bridges,50,100,18900,Retreat,900,4510,5690,36690,18900
144,true,true,Waves,01 Shortest Bridges,50,100,18220,Retreat,700,4510,5720,35640,18220
146,true,true,Waves,01 Shortest Bridges,50,100,18260,Retreat,100,4510,5560,35520,18260
147,true,true,Waves,01 Shortest Bridges,50,100,18300,Retreat,0,4510,5560,35640,18300
148,true,true,Waves,01 Shortest Bridges,50,100,18400,Retreat,300,4510,5580,35950,18400
149,true,true,Waves,01 Shortest Bridges,50,100,18400,Retreat,300,4510,5670,35940,18400
152,true,true,Waves,01 Shortest Bridges,50,133,17720,Retreat,500,4510,5630,37480,17720
151,true,true,Waves,01 Shortest Bridges,50,133,17320,Retreat,900,4510,5660,36540,17320
150,true,true,Waves,01 Shortest Bridges,50,100,18940,Retreat,0,4510,5590,36770,18940
153,true,true,Waves,01 Shortest Bridges,50,133,17860,Retreat,700,4510,5710,37750,17860
154,true,true,Waves,01 Shortest Bridges,50,133,17740,Retreat,300,4510,5590,37420,17740
156,true,true,Waves,01 Shortest Bridges,50,133,17640,Retreat,300,4510,5640,37220,17640
155,true,true,Waves,01 Shortest Bridges,50,133,17320,Retreat,200,4510,5650,36680,17320
158,true,true,Waves,01 Shortest Bridges,50,133,17540,Retreat,400,4510,5620,36960,17540
157,true,true,Waves,01 Shortest Bridges,50,133,17880,Retreat,800,4520,5730,37770,17880
159,true,true,Waves,01 Shortest Bridges,50,133,16760,Retreat,1600,4510,5700,35480,16760
161,true,true,Waves,01 Shortest Bridges,50,166,16300,Retreat,0,4510,5630,36400,16300
160,true,true,Waves,01 Shortest Bridges,50,133,18380,Retreat,100,4510,5560,38790,18380
162,true,true,Waves,01 Shortest Bridges,50,166,16080,Retreat,100,4510,5590,35760,16080
167,true,true,Waves,01 Shortest Bridges,50,166,15480,Retreat,500,4510,5690,34490,15480
165,true,true,Waves,01 Shortest Bridges,50,166,15480,Retreat,0,4510,5650,34570,15480
166,true,true,Waves,01 Shortest Bridges,50,166,15720,Retreat,300,4510,5650,35170,15720
163,true,true,Waves,01 Shortest Bridges,50,166,15540,Retreat,100,4510,5630,34670,15540
164,true,true,Waves,01 Shortest Bridges,50,166,15500,Retreat,0,4510,5550,34660,15500
168,true,true,Waves,01 Shortest Bridges,50,166,15960,Retreat,100,4510,5510,35510,15960
169,true,true,Waves,01 Shortest Bridges,50,166,16560,Retreat,400,4510,5590,36930,16560
170,true,true,Waves,01 Shortest Bridges,50,166,15700,Retreat,500,4510,5620,35160,15700
175,true,true,Waves,01 Shortest Bridges,50,200,14620,Retreat,0,4510,5600,33880,14620
171,true,true,Waves,01 Shortest Bridges,50,200,14460,Retreat,400,4510,5570,33600,14460
176,true,true,Waves,01 Shortest Bridges,50,200,14640,Retreat,1300,4510,5700,33990,14640
172,true,true,Waves,01 Shortest Bridges,50,200,14200,Retreat,800,4510,5720,32830,14200
173,true,true,Waves,01 Shortest Bridges,50,200,13980,Retreat,900,4510,5700,32460,13980
177,true,true,Waves,01 Shortest Bridges,50,200,14380,Retreat,800,4510,5640,33300,14380
174,true,true,Waves,01 Shortest Bridges,50,200,14440,Retreat,100,4510,5580,33500,14440
178,true,true,Waves,01 Shortest Bridges,50,200,13940,Retreat,400,4510,5660,32270,13940
179,true,true,Waves,01 Shortest Bridges,50,200,14240,Retreat,1100,4510,5690,32800,14240
183,true,true,Waves,01 Shortest Bridges,50,233,13240,Retreat,300,4510,5600,31630,13240
181,true,true,Waves,01 Shortest Bridges,50,233,13760,Retreat,800,4510,5650,32850,13760
180,true,true,Waves,01 Shortest Bridges,50,200,14220,Retreat,1200,4510,5590,32720,14220
182,true,true,Waves,01 Shortest Bridges,50,233,13540,Retreat,400,4510,5590,32280,13540
185,true,true,Waves,01 Shortest Bridges,50,233,14460,Retreat,500,4510,5630,34260,14460
188,true,true,Waves,01 Shortest Bridges,50,233,13860,Retreat,0,4510,5560,32990,13860
184,true,true,Waves,01 Shortest Bridges,50,233,13740,Retreat,1000,4510,5710,32870,13740
186,true,true,Waves,01 Shortest Bridges,50,233,13800,Retreat,0,4510,5600,32810,13800
189,true,true,Waves,01 Shortest Bridges,50,233,14260,Retreat,0,4510,5550,33910,14260
187,true,true,Waves,01 Shortest Bridges,50,233,14280,Retreat,300,4510,5660,33930,14280
190,true,true,Waves,01 Shortest Bridges,50,233,14060,Retreat,1000,4510,5660,33700,14060
192,true,true,Waves,01 Shortest Bridges,50,266,13740,Retreat,600,4510,5690,33450,13740
193,true,true,Waves,01 Shortest Bridges,50,266,13540,Retreat,200,4510,5630,32940,13540
197,true,true,Waves,01 Shortest Bridges,50,266,13400,Retreat,200,4510,5680,32480,13400
194,true,true,Waves,01 Shortest Bridges,50,266,13680,Retreat,100,4510,5670,33280,13680
196,true,true,Waves,01 Shortest Bridges,50,266,13740,Retreat,0,4510,5650,33430,13740
191,true,true,Waves,01 Shortest Bridges,50,266,13500,Retreat,0,4510,5630,32750,13500
195,true,true,Waves,01 Shortest Bridges,50,266,13400,Retreat,0,4510,5630,32460,13400
198,true,true,Waves,01 Shortest Bridges,50,266,13440,Retreat,0,4510,5590,32780,13440
200,true,true,Waves,01 Shortest Bridges,50,266,12920,Retreat,0,4510,5570,31500,12920
199,true,true,Waves,01 Shortest Bridges,50,266,13540,Retreat,0,4510,5580,32930,13540
201,true,true,Waves,01 Shortest Bridges,50,300,13080,Retreat,0,4510,5530,32410,13080
203,true,true,Waves,01 Shortest Bridges,50,300,12900,Retreat,0,4510,5630,31840,12900
202,true,true,Waves,01 Shortest Bridges,50,300,12120,Retreat,0,4510,5510,30000,12120
204,true,true,Waves,01 Shortest Bridges,50,300,13120,Retreat,500,4510,5610,32490,13120
205,true,true,Waves,01 Shortest Bridges,50,300,12500,Retreat,800,4510,5650,31080,12500
207,true,true,Waves,01 Shortest Bridges,50,300,12820,Retreat,0,4510,5570,31820,12820
209,true,true,Waves,01 Shortest Bridges,50,300,12420,Retreat,400,4510,5620,30730,12420
206,true,true,Waves,01 Shortest Bridges,50,300,13120,Retreat,0,4510,5640,32490,13120
210,true,true,Waves,01 Shortest Bridges,50,300,12900,Retreat,0,4510,5590,31920,12900
208,true,true,Waves,01 Shortest Bridges,50,300,13080,Retreat,0,4510,5570,32320,13080
211,true,true,Waves,01 Shortest Bridges,60,100,19940,Retreat,0,4510,5670,36390,19940
214,true,true,Waves,01 Shortest Bridges,60,100,19640,Retreat,0,4510,5650,35840,19640
212,true,true,Waves,01 Shortest Bridges,60,100,19640,Retreat,400,4510,5560,35950,19640
213,true,true,Waves,01 Shortest Bridges,60,100,20100,Retreat,0,4510,5570,36660,20100
215,true,true,Waves,01 Shortest Bridges,60,100,19180,Retreat,900,4510,5730,35150,19180
216,true,true,Waves,01 Shortest Bridges,60,100,20140,Retreat,500,4510,5590,36730,20140
218,true,true,Waves,01 Shortest Bridges,60,100,19680,Retreat,1700,4510,5750,35890,19680
217,true,true,Waves,01 Shortest Bridges,60,100,20100,Retreat,2600,4510,5820,36790,20100
219,true,true,Waves,01 Shortest Bridges,60,100,19940,Retreat,0,4510,5600,36610,19940
221,true,true,Waves,01 Shortest Bridges,60,133,18300,Retreat,1300,4510,5790,36720,18300
220,true,true,Waves,01 Shortest Bridges,60,100,19480,Retreat,300,4510,5710,35610,19480
224,true,true,Waves,01 Shortest Bridges,60,133,18820,Retreat,800,4510,5760,37820,18820
223,true,true,Waves,01 Shortest Bridges,60,133,19280,Retreat,100,4510,5580,38760,19280
222,true,true,Waves,01 Shortest Bridges,60,133,18220,Retreat,1000,4510,5680,36480,18220
225,true,true,Waves,01 Shortest Bridges,60,133,19240,Retreat,0,4510,5620,38690,19240
226,true,true,Waves,01 Shortest Bridges,60,133,19020,Retreat,500,4510,5750,38110,19020
229,true,true,Waves,01 Shortest Bridges,60,133,19280,Retreat,1000,4510,5630,38580,19280
230,true,true,Waves,01 Shortest Bridges,60,133,19840,Retreat,100,4510,5550,39680,19840
227,true,true,Waves,01 Shortest Bridges,60,133,18440,Retreat,1300,4510,5810,37070,18440
228,true,true,Waves,01 Shortest Bridges,60,133,19220,Retreat,0,4510,5600,38440,19220
234,true,true,Waves,01 Shortest Bridges,60,166,16700,Retreat,500,4510,5640,35690,16700
232,true,true,Waves,01 Shortest Bridges,60,166,16480,Retreat,800,4510,5660,35050,16480
231,true,true,Waves,01 Shortest Bridges,60,166,16620,Retreat,100,4510,5590,35510,16620
233,true,true,Waves,01 Shortest Bridges,60,166,17120,Retreat,200,4510,5580,36480,17120
235,true,true,Waves,01 Shortest Bridges,60,166,16860,Retreat,0,4510,5660,35920,16860
238,true,true,Waves,01 Shortest Bridges,60,166,17720,Retreat,200,4510,5600,37650,17720
237,true,true,Waves,01 Shortest Bridges,60,166,16880,Retreat,0,4510,5600,36110,16880
236,true,true,Waves,01 Shortest Bridges,60,166,17480,Retreat,1200,4510,5740,37250,17480
239,true,true,Waves,01 Shortest Bridges,60,166,17140,Retreat,500,4510,5660,36370,17140
240,true,true,Waves,01 Shortest Bridges,60,166,16580,Retreat,400,4510,5720,35360,16580
243,true,true,Waves,01 Shortest Bridges,60,200,14940,Retreat,1100,4510,5680,33290,14940
242,true,true,Waves,01 Shortest Bridges,60,200,14540,Retreat,0,4510,5620,32320,14540
241,true,true,Waves,01 Shortest Bridges,60,200,14400,Retreat,1200,4510,5650,32000,14400
244,true,true,Waves,01 Shortest Bridges,60,200,14980,Retreat,800,4510,5720,33440,14980
246,true,true,Waves,01 Shortest Bridges,60,200,14440,Retreat,400,4510,5650,32110,14440
245,true,true,Waves,01 Shortest Bridges,60,200,15280,Retreat,0,4510,5640,34100,15280
247,true,true,Waves,01 Shortest Bridges,60,200,14600,Retreat,1200,4510,5780,32570,14600
253,true,true,Waves,01 Shortest Bridges,60,233,14560,Retreat,600,4510,5600,33420,14560
248,true,true,Waves,01 Shortest Bridges,60,200,15520,Retreat,700,4510,5690,34600,15520
251,true,true,Waves,01 Shortest Bridges,60,233,14520,Retreat,0,4510,5560,33400,14520
249,true,true,Waves,01 Shortest Bridges,60,200,14780,Retreat,0,4510,5590,32930,14780
252,true,true,Waves,01 Shortest Bridges,60,233,14760,Retreat,600,4510,5720,34040,14760
250,true,true,Waves,01 Shortest Bridges,60,200,14400,Retreat,500,4510,5600,31930,14400
254,true,true,Waves,01 Shortest Bridges,60,233,14480,Retreat,100,4510,5610,33290,14480
255,true,true,Waves,01 Shortest Bridges,60,233,14720,Retreat,300,4510,5620,33830,14720
256,true,true,Waves,01 Shortest Bridges,60,233,14780,Retreat,700,4510,5650,33990,14780
257,true,true,Waves,01 Shortest Bridges,60,233,15080,Retreat,0,4510,5590,34640,15080
260,true,true,Waves,01 Shortest Bridges,60,233,14620,Retreat,0,4510,5550,33690,14620
259,true,true,Waves,01 Shortest Bridges,60,233,14480,Retreat,200,4510,5590,33290,14480
262,true,true,Waves,01 Shortest Bridges,60,266,13940,Retreat,0,4510,5640,32800,13940
258,true,true,Waves,01 Shortest Bridges,60,233,14840,Retreat,100,4510,5590,34270,14840
264,true,true,Waves,01 Shortest Bridges,60,266,14100,Retreat,400,4510,5610,33090,14100
261,true,true,Waves,01 Shortest Bridges,60,266,13920,Retreat,0,4510,5540,32780,13920
263,true,true,Waves,01 Shortest Bridges,60,266,13960,Retreat,0,4510,5590,33080,13960
265,true,true,Waves,01 Shortest Bridges,60,266,13560,Retreat,0,4510,5570,31940,13560
266,true,true,Waves,01 Shortest Bridges,60,266,13840,Retreat,0,4510,5590,32500,13840
270,true,true,Waves,01 Shortest Bridges,60,266,13560,Retreat,0,4510,5590,31970,13560
267,true,true,Waves,01 Shortest Bridges,60,266,13920,Retreat,700,4510,5660,32710,13920
268,true,true,Waves,01 Shortest Bridges,60,266,13860,Retreat,0,4510,5560,32660,13860
269,true,true,Waves,01 Shortest Bridges,60,266,14100,Retreat,0,4510,5670,33000,14100
272,true,true,Waves,01 Shortest Bridges,60,300,12940,Retreat,0,4510,5630,31090,12940
274,true,true,Waves,01 Shortest Bridges,60,300,12800,Retreat,0,4510,5620,30840,12800
271,true,true,Waves,01 Shortest Bridges,60,300,13060,Retreat,0,4510,5560,31420,13060
275,true,true,Waves,01 Shortest Bridges,60,300,12920,Retreat,800,4510,5570,30940,12920
273,true,true,Waves,01 Shortest Bridges,60,300,12740,Retreat,0,4510,5620,30600,12740
276,true,true,Waves,01 Shortest Bridges,60,300,12720,Retreat,0,4510,5580,30420,12720
278,true,true,Waves,01 Shortest Bridges,60,300,12520,Retreat,300,4510,5520,30290,12520
277,true,true,Waves,01 Shortest Bridges,60,300,12800,Retreat,400,4510,5620,30700,12800
279,true,true,Waves,01 Shortest Bridges,60,300,12760,Retreat,1100,4510,5760,30650,12760
280,true,true,Waves,01 Shortest Bridges,60,300,12860,Retreat,1700,4510,5830,30890,12860
283,true,true,Waves,01 Shortest Bridges,70,100,23420,Retreat,1200,4510,5800,40460,23420
281,true,true,Waves,01 Shortest Bridges,70,100,23580,Retreat,1800,4510,5820,40600,23580
284,true,true,Waves,01 Shortest Bridges,70,100,24260,Retreat,500,4510,5630,41810,24260
282,true,true,Waves,01 Shortest Bridges,70,100,23400,Retreat,2800,4510,5950,40240,23400
285,true,true,Waves,01 Shortest Bridges,70,100,24080,Retreat,0,4510,5630,41400,24080
291,true,true,Waves,01 Shortest Bridges,70,133,20460,Retreat,0,4510,5620,38870,20460
286,true,true,Waves,01 Shortest Bridges,70,100,24280,Retreat,800,4510,5700,41930,24280
288,true,true,Waves,01 Shortest Bridges,70,100,24400,Retreat,100,4510,5540,41860,24400
289,true,true,Waves,01 Shortest Bridges,70,100,24100,Retreat,500,4510,5730,41610,24100
287,true,true,Waves,01 Shortest Bridges,70,100,24020,Retreat,2200,4510,5770,41290,24020
290,true,true,Waves,01 Shortest Bridges,70,100,24620,Retreat,500,4510,5630,42400,24620
293,true,true,Waves,01 Shortest Bridges,70,133,20580,Retreat,100,4510,5620,39250,20580
